"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Feb-2025","1W AGO 
 21-Feb-2025","1M AGO 
 29-Jan-2025","1Y AGO 
 29-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 29-Feb-2024","30 D % CHNG 
 29-Jan-2025"
"NIFTY50 TR 2X LEVERAGE","16,368.20","-3.75","16,833.90","16,854.20","16,339.75","-","17,005.20","17,005.20","17,405.90","18,007.75","17,165.30","45,285.50","1,742.35","-4.64","-9.10"
"NIFTY50 PR 2X LEVERAGE","11,159.95","-3.75","11,477.45","11,491.30","11,140.55","-","11,594.25","11,594.25","11,867.45","12,310.65","11,996.40","45,285.50","1,742.35","-6.97","-9.35"
"NIFTY50 TR 1X INVERSE","188.45","1.89","185.90","188.60","185.80","-","184.95","184.95","182.75","179.50","183.40","45,285.50","156.10","2.75","4.99"
"NIFTY50 PR 1X INVERSE","228.00","1.88","224.95","228.20","224.80","-","223.80","223.80","221.15","216.95","219.15","45,285.50","188.15","4.04","5.09"
"NIFTY50 DIVIDEND POINTS","287.91","-","-","-","-","-","287.91","287.91","287.91","256.73","220.31","-","-","30.68","12.15"
"NIFTY ALPHA 50","42,264.05","-2.64","42,920.35","43,143.20","41,755.35","-","43,410.65","43,410.65","45,485.95","48,587.75","46,491.55","-","-","-9.09","-13.02"
"NIFTY50 EQUAL WEIGHT","27,541.90","-2.41","28,109.65","28,109.95","27,512.65","-","28,222.50","28,222.50","28,574.30","28,892.40","27,721.40","-","-","-0.65","-4.67"
"NIFTY100 EQUAL WEIGHT","27,957.40","-2.60","28,533.50","28,533.60","27,907.05","-","28,704.95","28,704.95","29,276.55","29,924.55","28,709.20","-","-","-2.62","-6.57"
"NIFTY100 LOW VOLATILITY 30","17,890.70","-2.54","18,287.35","18,296.30","17,877.35","-","18,357.55","18,357.55","18,602.45","18,978.70","17,992.75","-","-","-0.57","-5.73"
"NIFTY200 QUALITY 30","18,158.80","-2.70","18,566.75","18,585.20","18,117.50","-","18,663.60","18,663.60","19,137.75","19,962.80","18,668.55","-","-","-2.73","-9.04"
"NIFTY ALPHA LOW-VOLATILITY 30","23,657.00","-2.56","24,194.30","24,197.55","23,619.60","-","24,278.00","24,278.00","24,758.65","25,823.90","25,557.60","-","-","-7.44","-8.39"
"NIFTY200 MOMENTUM 30","26,676.70","-3.08","27,298.30","27,309.30","26,506.60","-","27,524.00","27,524.00","28,216.40","29,403.50","29,990.80","-","-","-11.05","-9.27"
"NIFTY MIDCAP150 QUALITY 50","20,477.95","-2.29","20,786.05","20,802.55","20,322.10","-","20,957.20","20,957.20","21,533.80","22,763.40","20,651.30","-","-","-0.84","-10.04"
"NIFTY200 ALPHA 30","20,593.00","-3.01","21,038.60","21,056.90","20,447.90","-","21,233.05","21,233.05","21,912.20","23,082.40","22,751.15","-","-","-9.49","-10.78"
